"","original_title.x","id","Actor","Director","budget.x","X1st.genre","genres","X1st.production.company","runtime.x","ProductionBudget","DomesticGross","release_date.x"
"250","gran torino",13223,"clint eastwood","clint eastwood",33000000,"drama","[{'id': 18, 'name': 'Drama'}]","Village Roadshow Pictures",116,2.5e+07,148095302,"2008-12-09"
"251","blood ties",190955,"clive owen","guillaume canet",25500000,"thriller","[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","Wild Bunch",128,2.6e+07,42472,"2013-08-22"
"252","the international",4959,"clive owen","tom tykwer",50000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Studio Babelsberg",118,5e+07,25450527,"2009-02-03"
"253","the women",13972,"cloris leachman","diane english",16000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","New Line Cinema",114,1.6e+07,26902075,"2008-09-12"
"254","dead man down",102362,"colin farrell","niels arden oplev",0,"thriller","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","Original Film",118,3e+07,10895295,"2013-03-08"
"255","seven psychopaths",86838,"colin farrell","martin mcdonagh",15000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","Blueprint Pictures",110,13500000,15024049,"2012-09-07"
"256","kingsman the secret service",207703,"colin firth","matthew vaughn",81000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","Twentieth Century Fox Film Corporation",130,9.4e+07,128261724,"2015-01-29"
"257","genius",267192,"colin firth","michael grandage",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","Desert Wolf Productions",104,1.7e+07,1361045,"2016-06-10"
"258","alone with her",18206,"colin hanks","eric nicholas",1000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]","The Weinstein Company",78,1e+06,10787,"2006-04-28"
"259","orange county",11857,"colin hanks","jake kasdan",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Paramount Pictures",82,1.8e+07,41059716,"2002-01-10"
"260","stomp the yard",1931,"columbus short","sylvain white",13000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","Rainforest Films",114,1.4e+07,61356221,"2007-05-16"
"261","a shine of rainbows",37206,"connie nielsen","vic sarin",6000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","Octagon Films",101,6e+06,0,"2009-10-01"
"262","free style",39055,"corbin bleu","william dear",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","Rigel Entertainment",94,1e+07,141108,"2008-12-24"
"263","willard",10929,"crispin glover","glen morgan",22000000,"horror","[{'id': 27, 'name': 'Horror'}]","New Line Cinema",100,2e+07,6882696,"2003-03-14"
"264","freedom",288980,"cuba gooding jr","peter cousens",14500000,"drama","[{'id': 18, 'name': 'Drama'}]","Production One",98,14500000,0,"2014-08-21"
"265","boat trip",9557,"cuba gooding jr","mort nathan",20000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Motion Picture Corporation of America",94,1.5e+07,8586376,"2002-10-01"
"266","daddy day camp",14144,"cuba gooding jr","fred savage",6000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Revolution Studios",89,6e+06,13235267,"2007-08-08"
"267","radio",13920,"cuba gooding jr","mike tollin",32000000,"drama","[{'id': 18, 'name': 'Drama'}]","Revolution Studios",109,3.5e+07,52333738,"2003-10-24"
"268","the devil s tomb",17577,"cuba gooding jr","jason connery",10000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","Ice Cold Productions",90,1e+07,0,"2009-05-26"
"269","dinosaur",10567,"d b sweeney","ralph zondag",127500000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]","Walt Disney Pictures",82,127500000,137748063,"2000-05-19"
"270","time changer",45767,"d david morin","rich christiano",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","Christiano Film Group",95,825000,1500711,"2002-10-25"
"271","push",13455,"dakota fanning","paul mcguigan",38000000,"action","[{'id': 28, 'name': 'Action'}]","Icon Productions",111,3.8e+07,31811527,"2009-02-06"
"273","taken",150004,"dakota fanning","john fawcett",0,"science fiction","[{'id': 878, 'name': 'Science Fiction'}]","DreamWorks SKG",877,2.5e+07,145000989,"2002-12-02"
"275","midnight sun",287935,"dakota goyo","roger spottiswoode",18000000,"family","[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","Imagenation Abu Dhabi FZ",120,2800000,9561064,"2014-09-01"
"276","bamboozled",24664,"damon wayans","spike lee",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","New Line Cinema",135,1e+07,2185266,"2000-10-06"
"277","yogi bear",41515,"dan aykroyd","eric brevig",80000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]","De Line Pictures",80,8e+07,100246011,"2010-12-11"
"278","the simpsons movie",35,"dan castellaneta","david silverman",75000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Gracie Films",87,72500000,183135014,"2007-07-25"
"279","urbania",77332,"dan futterman","jon matthews",0,"romance","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",NA,103,225000,1032075,"2000-01-24"
"280","the master of disguise",13908,"dana carvey","perry andelin blake",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Columbia Pictures",80,1.6e+07,40363530,"2002-08-02"
"281","valerian and the city of a thousand planets",339964,"dane dehaan","luc besson",197471676,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]","EuropaCorp",137,1.8e+08,40479370,"2017-07-20"
"282","metallica through the never",193613,"dane dehaan","nimród antal",18000000,"music","[{'id': 10402, 'name': 'Music'}]","Exclusive Media Group",93,1.8e+07,3419967,"2013-09-25"
"283","lincoln",72976,"daniel day lewis","steven spielberg",65000000,"history","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","DreamWorks",149,6.5e+07,182207973,"2012-11-09"
"284","the ballad of jack and rose",17113,"daniel day lewis","rebecca miller",1500000,"drama","[{'id': 18, 'name': 'Drama'}]","Elevation Filmworks",111,1500000,712294,"2005-03-25"
"285","doogal",24432,"daniel tay","frank passingham",0,"family","[{'id': 10751, 'name': 'Family'}]",NA,85,2e+07,7578946,"2006-02-24"
"286","patti cake ",426256,"danielle macdonald","geremy jasper",0,"drama","[{'id': 18, 'name': 'Drama'}]","RT Features",108,1e+06,800148,"2017-08-18"
"287","survivor",281778,"danielle ryan chuchran","john lyde",0,"science fiction","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","Arrowstorm Entertainment",93,2e+07,0,"2014-07-22"
"288","dinner rush",22617,"danny aiello","bob giraldi",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","Access Motion Picture Group",99,2e+06,638227,"2000-09-01"
"289","frozen",170986,"danny denzongpa","shivajee chandrabhushan",0,"drama","[{'id': 18, 'name': 'Drama'}]",NA,110,1.5e+08,400738009,"2007-07-21"
"290","drowning mona",25166,"danny devito","nick gomez",16000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","Code Entertainment",96,1.6e+07,15427192,"2000-03-03"
"291","machete kills",106747,"danny trejo","robert rodriguez",12000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Open Road Films",107,2e+07,8008161,"2013-09-12"
"292","keeping up with the steins",21014,"daryl sabara","scott marshall",0,"comedy","[{'id': 35, 'name': 'Comedy'}]",NA,90,5e+06,4339241,"2006-05-12"
"293","dave chappelle s block party",292,"dave chappelle","michel gondry",3000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]","Yari Film Group",100,3e+06,11718595,"2005-09-12"
"294","scream 3",4234,"david arquette","wes craven",40000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","Konrad Pictures",116,4e+07,89138076,"2000-02-03"
"295","scream 4",41446,"david arquette","wes craven",40000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","Dimension Films",111,4e+07,38180928,"2011-04-11"
"296","life",220903,"david attenborough","martha holmes",0,"documentary","[{'id': 99, 'name': 'Documentary'}]","British Broadcasting Corporation (BBC)",500,5.8e+07,30234022,"2009-12-14"
"297","return to me",2621,"david duchovny","bonnie hunt",24000000,"romance","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Metro-Goldwyn-Mayer (MGM)",115,2.4e+07,32662299,"2000-04-07"
"298","trust the man",14057,"david duchovny","bart freundlich",9000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Trust the Man LLC",103,9e+06,1530535,"2005-09-01"
"299","evolution",9397,"david duchovny","ivan reitman",80000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","DreamWorks SKG",101,8e+07,38311134,"2001-06-08"
"300","the joneses",41479,"david duchovny","derrick borte",10000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Echo Lake Productions",96,1e+07,1475746,"2009-09-13"
"301","the matador",85097,"david fandila","nina gilden seavey",0,"documentary","[{'id': 99, 'name': 'Documentary'}]","Matador Films",74,1e+07,12589255,"2008-11-20"
"302","dickie roberts former child star",13778,"david spade","sam weisman",0,"comedy","[{'id': 35, 'name': 'Comedy'}]","Paramount Pictures",98,1.7e+07,22734486,"2003-09-05"
"303","the emperor s new groove",11688,"david spade","mark dindal",100000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","Walt Disney Pictures",78,1e+08,89296573,"2000-12-09"
"304","anomalisa",291270,"david thewlis","duke johnson",8000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Starburns Industries",90,8e+06,3759286,"2015-12-30"
"305","bubble",14788,"debbie doebereiner","steven soderbergh",1600000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","Magnolia Pictures",73,1600000,145382,"2005-09-03"
"321","all eyez on me",402529,"demetrius shipp jr","benny boom",45000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","Morgan Creek Productions",139,4.5e+07,44922302,"2017-06-12"
"322","forsaken",354110,"demi moore","jon cassar",11000000,"western","[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}]","Minds Eye Entertainment",90,1.8e+07,0,"2015-09-16"
"324","lowriders",333384,"demián bichir","ricardo de montreuil",916000,"drama","[{'id': 18, 'name': 'Drama'}]","Imagine Entertainment",99,916000,6179955,"2017-04-28"
"325","remember the titans",10637,"denzel washington","boaz yakin",30000000,"drama","[{'id': 18, 'name': 'Drama'}]","Walt Disney Pictures",113,3e+07,115654751,"2000-09-29"
"326","fences",393457,"denzel washington","denzel washington",24000000,"drama","[{'id': 18, 'name': 'Drama'}]","Paramount Pictures",139,2.4e+07,57682904,"2016-12-16"
"327","antwone fisher",13435,"derek luke","denzel washington",12500000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Fox Searchlight Pictures",120,12500000,21078145,"2002-12-19"
"328","insidious chapter 3",280092,"dermot mulroney","leigh whannell",10000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Sony Pictures",97,1e+07,52218558,"2015-06-04"
"329","the second best exotic marigold hotel",268238,"dev patel","john madden",10000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","Fox Searchlight Pictures",122,1e+07,33078266,"2015-02-26"
"330","adoration",8895,"devon bostick","atom egoyan",4700000,"drama","[{'id': 18, 'name': 'Drama'}]","Serendipity Point Films",100,4e+06,294244,"2008-01-01"
"331","because i said so",1257,"diane keaton","michael lehmann",0,"comedy","[{'id': 35, 'name': 'Comedy'}]","Universal Pictures",102,3.9e+07,42674040,"2007-02-02"
"332","secretariat",39486,"diane lane","randall wallace",35000000,"drama","[{'id': 18, 'name': 'Drama'}]","Walt Disney Pictures",123,3.5e+07,59699513,"2010-08-20"
"333","the boy next door",58106,"dina meyer","neill fearnley",0,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","TF1 International",0,4e+06,36006065,"2008-06-01"
"334","the new guy",10985,"dj qualls","ed decter",13000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Revolution Studios",88,1.3e+07,28972187,"2002-05-10"
"335","skin trade",327833,"dolph lundgren","ekachai uekrongtham",9000000,"thriller","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","SC Films International",96,9e+06,1242,"2014-11-07"
"336","in the name of the king iii",252360,"dominic purcell","uwe boll",3500000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",NA,85,3500000,0,"2013-12-27"
"337","burn",139948,"donald austin","tom putnam",225000,"foreign","[{'id': 10769, 'name': 'Foreign'}, {'id': 99, 'name': 'Documentary'}]","Apostle Productions",86,225000,1109276,"2012-11-01"
"338","next day air",18065,"donald faison","benny boom",0,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","Melee Entertainment",84,3e+06,10027047,"2009-02-06"
"339","final fantasy the spirits within",2114,"donald sutherland","hironobu sakaguchi",137000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","Columbia Pictures",106,1.37e+08,32131830,"2001-07-02"
"340","the past is a grotesque animal",268917,"dottie alexander","jason miller",100,"documentary","[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]","Wrecking Crew",77,1e+05,20056,"2014-06-15"
"342","the wash",13408,"dr dre","dj pooh",7000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","Lionsgate",93,4e+06,10097096,"2001-11-16"
"343","college",13991,"drake bell","deb hagan",7000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Metro-Goldwyn-Mayer (MGM)",94,6e+06,4694491,"2008-08-28"
"344","blended",232672,"drew barrymore","frank coraci",40000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Happy Madison Productions",117,4.5e+07,46290741,"2014-05-21"
"345","beverly hills chihuahua",14405,"drew barrymore","raja gosnell",20000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Walt Disney Pictures",91,2e+07,94514402,"2008-10-03"
"346","the rundown",10159,"dwayne johnson","peter berg",85000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","Columbia Pictures",104,8.5e+07,47641743,"2003-09-26"
"347","central intelligence",302699,"dwayne johnson","rawson marshall thurber",50000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","New Line Cinema",107,5e+07,127440871,"2016-06-15"
"348","interview with the assassin",36584,"dylan haggerty","neil burger",500000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Magnolia Pictures",88,750000,47329,"2002-05-09"
"349","the maze runner",198663,"dylan o brien","wes ball",34000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","Ingenious Media",113,3.4e+07,102427862,"2014-09-10"
"350","twisted",239895,"dylan saunders","brian holden",140000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]","Starkid Productions",133,5e+07,25195050,"2013-11-28"
"351","frontera",259611,"ed harris","michael berry",0,"western","[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}]","MJW Films",103,2300000,59696,"2014-07-31"
"352","copying beethoven",1590,"ed harris","agnieszka holland",11000000,"drama","[{'id': 18, 'name': 'Drama'}]","Sidney Kimmel Entertainment",104,1.1e+07,355968,"2006-09-10"
"353","pollock",12509,"ed harris","ed harris",6,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Fred Berner Films",122,6e+06,8596914,"2000-09-06"
"354","plastic",208869,"ed speleers","julian gilbey",10,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","Gateway Films",102,1e+07,0,"2014-04-30"
"355","my baby s daddy",26710,"eddie griffin","cheryl dunye",0,"comedy","[{'id': 35, 'name': 'Comedy'}]",NA,86,1.2e+07,17321573,"2004-01-09"
"356","dysfunktional family",17995,"eddie griffin","george gallo",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]","Brad Grey Pictures",89,3e+06,2255000,"2003-04-04"
"357","undercover brother",12277,"eddie griffin","malcolm d lee",25000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","Universal Pictures",86,2.5e+07,38230435,"2002-05-31"
"358","daddy day care",10708,"eddie murphy","steve carr",60000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Columbia Pictures",92,6e+07,104148781,"2003-05-03"
"359","mr church",374461,"eddie murphy","bruce beresford",8000000,"drama","[{'id': 18, 'name': 'Drama'}]","Envision Media Arts",104,8e+06,685780,"2016-09-16"
"360","the adventures of pluto nash",11692,"eddie murphy","ron underwood",100000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","Village Roadshow Pictures",95,1e+08,4411102,"2002-08-15"
"361","nutty professor ii the klumps",12107,"eddie murphy","peter segal",84000000,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]","Imagine Entertainment",106,8.4e+07,123307945,"2000-07-27"
"362","i spy",8427,"eddie murphy","betty thomas",70000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","Columbia Pictures Corporation",97,7e+07,33561137,"2002-10-31"
"363","the theory of everything",266856,"eddie redmayne","james marsh",15000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Working Title Films",123,1.5e+07,35893537,"2014-11-26"
"364","point break",257088,"edgar ramírez","ericson core",105000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Studio Babelsberg",114,1e+08,28782481,"2015-12-03"
"365","3 backyards",68412,"edie falco","eric mendelsohn",0,"drama","[{'id': 18, 'name': 'Drama'}]","Caruso / Mendelsohn Productions",88,3e+05,39475,"2010-01-01"
"366","confidence",10743,"edward burns","james foley",0,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Cinerenta Medienbeteiligungs KG",97,1.5e+07,12212417,"2003-04-25"
"367","newlyweds",72766,"edward burns","edward burns",9000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",NA,85,9000,4584,"2011-12-26"
"368","sidewalks of new york",31016,"edward burns","edward burns",1000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Paramount Classics",107,1e+06,2402459,"2001-11-23"
"369","below zero",107315,"edward furlong","justin thomas ostensen",0,"thriller","[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",NA,0,1200000,0,"2011-10-22"
"370","jimmy and judy",18869,"edward furlong","randall rubin",0,"action","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",NA,99,1e+06,0,"2006-01-01"
"371","the comedian",137072,"edward hogg","tom shkolnik",0,NA,"[]",NA,80,1.5e+07,1658706,"2013-05-31"
"372","winnie mandela",75033,"elias koteas","darrell james roodt",15000000,"drama","[{'id': 18, 'name': 'Drama'}]",NA,107,1.5e+07,61847,"2011-09-16"
"373","the lord of the rings the fellowship of the ring",120,"elijah wood","peter jackson",93000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","WingNut Films",178,1.09e+08,315544750,"2001-12-18"
"374","soul survivors",14033,"eliza dushku","stephen carpenter",0,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",NA,84,1.4e+07,3100650,"2001-09-06"
"375","bedazzled",1636,"elizabeth hurley","harold ramis",48000000,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Twentieth Century Fox Film Corporation",93,4.8e+07,37879996,"2000-10-19"
"376","the purge election year",316727,"elizabeth mitchell","james demonaco",10000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Universal Pictures",105,1e+07,79042440,"2016-06-29"
"377","silent house",92182,"elizabeth olsen","chris kentis",2000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","Elle Driver",85,2e+06,12739737,"2011-01-21"
"378","ouija origin of evil",335796,"elizabeth reaser","mike flanagan",9000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Universal Pictures",99,9e+06,35144505,"2016-10-20"
"379","boyhood",85350,"ellar coltrane","richard linklater",4000000,"drama","[{'id': 18, 'name': 'Drama'}]","IFC Films",164,4e+06,25379975,"2014-06-05"
"380","the neon demon",301365,"elle fanning","nicolas winding refn",7000000,"thriller","[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","Bold Films",117,7500000,1333124,"2016-06-08"
"381","ballerina",342473,"elle fanning","eric summer",30000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","Caramel Films",89,3e+07,21858070,"2016-12-14"
"382","another happy day",60422,"ellen barkin","sam levinson",4000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Filmula",119,4e+06,9120,"2011-11-18"
"383","dead like me life after death",14849,"ellen muth","stephen herek",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]","Metro-Goldwyn-Mayer (MGM)",87,5e+06,0,"2009-02-17"
"384","whip it",22798,"ellen page","drew barrymore",15000000,"drama","[{'id': 18, 'name': 'Drama'}]","Dune Entertainment",111,1.5e+07,13077184,"2009-09-13"
"385","tallulah",353571,"ellen page","sian heder",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Ocean Blue Entertainment",111,6e+06,0,"2016-01-23"
"386","junebug",1444,"embeth davidtz","phil morrison",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",NA,106,1e+06,2678010,"2005-08-03"
"387","the mudge boy",26899,"emile hirsch","michael burke",800000,"drama","[{'id': 18, 'name': 'Drama'}]",NA,94,8e+05,62544,"2003-01-17"
"388","the dangerous lives of altar boys",16857,"emile hirsch","peter care",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Egg Pictures",104,1.2e+07,1779284,"2002-06-14"
"389","legend of the guardians the owls of ga hoole",41216,"emily barclay","zack snyder",80000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","Village Roadshow Pictures",97,1e+08,55675313,"2010-07-10"
"390","plush",215881,"emily browning","catherine hardwicke",0,"thriller","[{'id': 53, 'name': 'Thriller'}]","Blumhouse Productions",98,2e+06,3080,"2013-09-13"
"391","8 mile",65,"eminem","curtis hanson",41000000,"drama","[{'id': 18, 'name': 'Drama'}]","Imagine Entertainment",110,4.1e+07,116724075,"2002-11-08"
"392","nerve",328387,"emma roberts","henry joost",19000000,"mystery","[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]","Lionsgate",96,2e+07,38583626,"2016-07-27"
"393","saving mr banks",140823,"emma thompson","john lee hancock",35000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","Walt Disney Pictures",125,3.5e+07,83299761,"2013-11-16"
"394","the circle",339988,"emma watson","james ponsoldt",18000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","Likely Story",110,1.8e+07,20497844,"2017-04-27"
"395","beauty and the beast",321612,"emma watson","bill condon",160000000,"family","[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","Walt Disney Pictures",129,1.6e+08,504014165,"2017-03-16"
