"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime"
"18256","49040","130000000","action","the bourne legacy","universal pictures",2012-08-08,276572938,120
"18257","1254","0","drama","je vais bien, ne t'en fais pas","fin août productions",2006-09-06,0,96
"18258","75345","0","drama","i melt with you",NA,2011-12-09,0,129
"18259","58574","125000000","adventure","sherlock holmes: a game of shadows","village roadshow pictures",2011-11-22,334615000,129
"18260","66150","45202","documentary","life in a day","scott free productions",2011-01-27,225861,95
"18262","54157","0","comedy","le coût de la vie","m6 films",2003-07-30,0,98
"18264","73448","0","drama","dirch","koncern tv- og filmproduktion",2011-08-25,0,116
"18268","101173","7700000","drama","coriolanus","bbc films",2011-02-14,1072602,123
"18269","103597","0","drama","americano","media programme of the european union",2011-11-30,0,105
"18271","22075","0","drama","angelus","agencja produkcji filmowej",2001-11-02,0,103
"18274","54900","500000","drama","gitmek: benim marlon ve brandom",NA,2008-04-25,0,90
"18275","61896","0","documentary","prom night in mississippi","return to mississippi productions",2009-01-15,0,90
"18276","83552","0","documentary","این فیلم نیست","jafar panahi film productions",2011-09-27,0,75
"18278","89456","0","drama","hors satan","3b productions",2011-10-19,0,110
"18279","118204","0","foreign","el estudiante",NA,2011-09-01,0,124
"18280","119425","200000","drama","shit year",NA,2010-05-15,0,95
"18281","17775","0","drama","toronto stories","new real films",2008-01-01,0,89
"18282","70955","0","drama","backstage","black forest films",2005-11-16,0,112
"18283","20186","0","drama","better things","third films",2008-05-17,0,93
"18284","99642","0","drama","la vie nouvelle","canal+",2002-11-27,0,102
"18286","57157","12000000","comedy","young adult","paramount pictures",2011-12-16,22939027,94
"18287","30245","0","comedy","mr. bones 2: back from the past","videovision entertainment",2008-11-27,0,101
"18288","70577","15000000","thriller","faces in the crowd","voltage pictures",2011-10-25,0,102
"18289","62838","56000000","comedy","new year's eve","new line cinema",2011-12-08,142044638,118
"18290","56292","145000000","action","mission: impossible - ghost protocol","paramount pictures",2011-12-07,694713380,133
"18292","74465","50000000","drama","we bought a zoo","twentieth century fox film corporation",2011-12-22,120081841,124
"18294","65754","90000000","thriller","the girl with the dragon tattoo","columbia pictures",2011-12-14,232617430,158
"18295","71469","30000000","horror","the darkest hour","summit entertainment",2011-12-22,64626786,89
"18296","45320","0","documentary","picture me",NA,2010-09-19,11000,88
"18298","55301","75000000","comedy","alvin and the chipmunks: chipwrecked","fox 2000 pictures",2011-12-14,342695435,87
"18299","73873","8000000","drama","albert nobbs","chrysalis films",2011-12-21,5634828,113
"18300","52274","0","horror","los ojos de julia","universal pictures international (upi)",2010-10-29,12884923,118
"18301","378477","0","history","metrobranding","mandragora",2010-02-21,0,92
"18302","51995","8000000","comedy","salvation boulevard","mandalay vision",2011-07-15,0,96
"18303","80038","0","comedy","friends with kids","locomotive",2011-09-09,12186625,100
"18305","63207","13000000","horror","intruders","universal pictures international (upi)",2011-09-12,0,100
"18307","79777","10000000","drama","in the land of blood and honey","filmdistrict",2011-12-23,303877,127
"18315","2349","0","drama","erbsen auf halb 6",NA,2004-03-04,0,107
"18316","46641","0","comedy","today's special","inimitable pictures",2009-10-14,400654,99
"18317","92464","0","documentary","brutal beauty: tales of the rose city rollers",NA,2010-01-09,0,80
"18318","24986","0","comedy","fei chang wan mei",NA,2009-08-13,0,107
"18319","56761","0","documentary","reagan",NA,2011-02-07,0,0
"18320","24833","0","adventure","santa buddies","walt disney studios home entertainment",2009-11-19,0,88
"18321","53505","0","documentary","the last lions",NA,2011-02-11,0,88
"18325","74518","0","thriller","territories","capture the flag films",2010-10-19,0,95
"18326","59006","1000000","comedy","girl walks into a bar","shangri-la entertainment",2011-03-07,0,80
"18327","41066","0","family","レイトン教授と永遠の歌姫","chubu-nippon broadcasting company",2009-12-01,0,100
"18328","53100","0","comedy","bringing up bobby",NA,2011-11-25,0,95
"18329","293114","0","drama","taulukauppiaat","aamu filmcompany",2010-09-03,0,58
"18330","116537","0","crime","kukkulan kuningas","yleisradio (yle)",2009-09-23,0,60
"18333","82698","0","drama","ladies vs ricky bahl",NA,2011-12-09,0,140
"18334","73939","0","drama","pariah",NA,2011-12-27,0,86
"18336","50393","0","animation","kung fu panda holiday","dreamworks animation",2010-11-26,0,21
"18337","71866","0","drama","tanner hall","tax credit finance",2009-09-14,0,96
"18338","72766","9000","comedy","newlyweds",NA,2011-12-26,0,85
"18339","76487","1000000","thriller","the devil inside","room 101",2012-01-06,101758490,83
"18340","74523","0","action","born to race","american cinema international",2011-03-19,0,99
"18341","76785","0","drama","roadie","magnolia pictures",2011-08-20,0,95
"18342","77866","25000000","thriller","contraband","universal pictures",2012-01-12,63100000,109
"18343","14163","0","drama","chak de! india","yash raj films",2007-08-10,19300000,153
"18350","78461","7300000","thriller","beneath the darkness","raincreek productions",2011-10-21,0,96
"18351","75301","0","documentary","being elmo: a puppeteer's journey",NA,2011-10-21,286201,80
"18353","63574","0","comedy","joyful noise","alcon entertainment",2012-01-13,0,117
"18354","37006","0","comedy","mi mejor enemigo","alce producciones ltda.",2005-01-01,0,100
"18355","95538","0","drama","morrer como um homem","rosa filmes",2009-10-06,0,133
"18357","62837","37000000","drama","dolphin tale","alcon entertainment",2011-09-23,95404397,113
"18358","63498","0","animation","chico & rita","isle of man film",2010-11-19,0,94
"18359","71688","13000000","history","the iron lady","uk film council",2011-12-30,114956699,105
"18360","39072","0","comedy","happy tears","pierpoline films",2009-10-16,0,96
"18361","15346","8000000","comedy","the golden boys",NA,2008-12-11,0,97
"18362","78182","0","drama","елена","non-stop productions",2011-05-21,0,109
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA
"18364","81527","0","drama","aurora","société française de production (sfp)",2011-03-11,0,181
"18365","53128","0","drama","ψυχή βαθιά","alcor films",2009-10-22,0,124
"18366","65233","0","comedy","la conquête","gaumont",2011-05-18,0,105
"18367","73066","0","drama","mad bastards",NA,2010-01-01,0,94
"18369","148353","0","documentary","en construcción",NA,2001-10-19,0,125
"18370","33684","0","comedy","divoké včely","česká televize",2001-11-08,0,114
"18371","35156","0","documentary","the end of the line",NA,2009-06-12,0,85
"18372","72721","0","drama","nostalgia de la luz","westdeutscher rundfunk (wdr)",2010-10-27,0,90
"18373","162374","0","drama","dernier étage gauche gauche","tu vas voir productions",2010-11-15,0,110
"18374","72842","0","drama","albatross",NA,2011-10-14,0,90
"18375","79465","0","comedy","loosies","ifc films",2012-02-01,0,89
"18376","79896","0","comedy","the revenant","putrefactory limited",2009-08-16,0,110
"18377","57829","0","drama","młyn i krzyż","odeon film",2011-03-18,342519,92
"18379","57353","25000000","action","cat run","universal pictures",2011-04-01,0,102
"18381","47383","0","drama","el hombre de al lado","aleph media",2009-11-10,0,110
"18382","38541","3000000","horror","the divide","instinctive film",2011-03-13,22000,112
"18383","52520","70000000","fantasy","underworld: awakening","lakeshore entertainment",2012-01-19,160112671,88
"18384","75174","25000000","action","the grey","scott free productions",2012-01-26,77278331,117
"18385","49527","42000000","action","man on a ledge","summit entertainment",2012-01-13,46221189,102
"18386","55741","10000000","drama","sacrifice","shanghai film group",2010-12-17,0,128
"18387","68861","0","foreign","veijarit",NA,2010-12-25,0,0
"18388","84407","0","documentary","the pruitt-igoe myth",NA,2012-01-20,0,79
"18392","8368","0","drama","the garden of eden","devonshire productions",2008-01-01,0,111
"18394","145594","0","drama","descongelate!",NA,2003-09-12,0,0
"18395","58194","600000","drama","white irish drinkers",NA,2011-03-25,0,109
"18396","70435","23000000","action","haywire","irish film board",2011-11-06,33372606,93
"18397","66118","0","comedy","case départ","légende films",2011-07-05,0,94
"18403","31337","0","comedy","contact high","lotus film gmbh für orf",2009-03-19,0,98
"18404","65760","0","drama","the whistleblower","first generation films",2010-09-13,0,112
"18405","74997","0","drama","the human centipede 2 (full sequence)","six entertainment",2011-10-06,0,91
"18409","28632","0","drama","禅","kadokawa pictures",2009-01-10,0,127
"18411","15044","0","history","einstein and eddington","hbo films",2008-11-29,0,90
"18412","34179","20000000","drama","jin yi wei","shanghai film group",2010-02-04,0,114
"18413","35250","0","horror","the locals",NA,2003-10-17,0,88
"18416","65892","0","comedy","my future boyfriend","bayonne entertainment",2011-04-10,0,73
"18418","87408","0","drama","به امید دیدار","ariel film",2011-09-07,0,104
"18419","82321","0","drama","the loneliest planet",NA,2011-08-10,0,113
"18421","96888","0","drama","ha-shoter","rabinovich film fund cinema project",2011-07-09,0,105
"18422","102809","0","documentary","xianshi shi guoqu de weilai",NA,2009-03-31,0,58
"18425","123690","0","comedy","după-amiaza unui torționar","filmex",2001-09-07,0,76
"18427","62564","3100000","drama","få meg på, for faen","motlys",2011-08-19,0,76
"18428","77560","0","fantasy","faust","proline film",2011-09-08,0,140
"18429","56815","0","thriller","post mortem",NA,2010-07-02,0,98
"18430","25621","0","documentary","decasia",NA,2002-01-24,0,67
"18431","24870","0","music","viva",NA,2007-01-01,0,120
"18432","25774","0","comedy","fados",NA,2007-12-31,0,90
"18433","58251","0","drama","go get some rosemary","sophie dulac productions",2009-05-16,20728,100
"18435","97394","0","documentary","stanley kubrick's boxes","world of wonder",2008-07-15,0,48
"18439","32169","0","drama","kan door huid heen",NA,2009-01-29,0,94
"18440","70149","0","drama","morgen","slot machine",2010-10-01,0,100
"18441","57046","0","comedy","what's up, scarlet?",NA,2005-05-18,0,0
"18443","58391","0","drama","kolme viisasta miestä","marianne productions",2008-11-14,0,0
"18445","50357","5000000","horror","apollo 18","bazelevs production",2011-07-20,25562924,86
"18446","82269","0","documentary","crazy horse","idéale audience",2011-10-05,0,134
"18447","74998","17000000","action","seeking justice","endgame entertainment",2011-09-02,12355798,105
"18450","71670","6000000","horror","hostel: part iii","raw nerve",2011-12-27,0,88
"18451","21864","0","drama","wyvern",NA,2009-01-31,0,90
"18452","36865","0","animation","涼宮ハルヒの消失","kyoto animation",2010-02-05,0,162
"18453","28512","0","adventure","the poseidon adventure","larry levinson productions",2005-11-20,0,173
"18457","72431","58000000","drama","red tails","lucasfilm",2012-01-19,50365377,125
"18458","73686","0","drama","in darkness","studio babelsberg",2011-09-02,5576725,145
"18460","76758","94000000","drama","金陵十三釵","beijing new picture film co. ltd.",2011-12-15,95311434,145
"18462","70917","0","comedy","the scenesters",NA,2009-08-31,0,0
"18463","72186","0","documentary","thunder soul","snoot entertainment",2010-03-13,0,83
"18464","42968","0","horror","la monja","future films",2005-11-03,0,101
"18465","57190","0","thriller","vlad","quantum entertainment",2003-05-16,0,98
"18466","77338","13000000","drama","intouchables","gaumont",2011-11-02,426480871,112
"18467","73562","0","drama","la guerre est déclarée","rectangle productions.",2011-05-10,0,100
"18468","54054","40000000","action","one for the money","lakeshore entertainment",2012-01-26,36893721,91
"18471","96495","0","documentary","becoming chaz",NA,2011-01-20,0,80
"18473","80591","15000000","drama","w.e.","im global",2011-09-01,868439,119
"18474","58428","750000","horror","the innkeepers","glass eye pix",2011-12-01,78396,102
"18475","142118","0",NA,"varasto","kinosto oy",2011-12-30,0,0
"18477","19235","0","drama","dog tags","tla releasing",2008-01-01,0,90
"18478","78698","40000000","adventure","big miracle","universal pictures",2012-02-02,24719215,107
"18479","85949","0","action","collision earth","colliding pictures",2011-03-24,0,86
"18482","101520","0","documentary","reel injun","national film board of canada (nfb)",2009-09-10,0,86
"18484","76142","0","documentary","cameraman: the life and work of jack cardiff",NA,2010-05-05,0,86
"18485","57809","5000000","comedy","ёлки","bazelevs production",2010-12-12,22772019,89
"18486","85317","0","comedy","ёлки 2","bazelevs production",2011-12-15,0,106
"18487","57343","0","comedy","this time around",NA,2003-06-22,0,0
"18488","43711","0","drama","enid",NA,2009-11-16,0,82
"18492","50698","1000000","thriller","grave encounters","darclight",2011-09-09,0,92
"18493","48492","13000000","action","狄仁傑之通天帝國","huayi brothers",2010-09-18,51723285,119
"18497","409900","0",NA,"ikuisesti sinun",NA,2011-11-11,0,75
"18498","38371","0","comedy","kariera nikosia dyzmy",NA,2002-03-15,0,110
"18499","14224","0","action","e=mc²","hbo polska",2002-08-23,0,120
"18500","76726","15000000","science fiction","chronicle","twentieth century fox film corporation",2012-02-01,1.45e+08,84
"18501","65086","17000000","drama","the woman in black","hammer film productions",2012-02-01,127730736,95
"18503","80125","0","comedy","rubbeldiekatz","boje buck produktion",2011-12-15,0,108
"18505","52850","0","drama","toast","bbc films",2010-12-30,0,90
"18506","64678","0","drama","the art of getting by","goldcrest films international",2011-06-17,1406224,83
"18507","57400","0","comedy","shlichuto shel hamemune al mashabei enosh","pallas film",2011-03-04,0,103
"18509","67911","10000000","comedy","bucky larson: born to be a star","columbia pictures",2011-09-09,0,97
"18510","66120","11000000","thriller","le moine","diaphana films",2011-07-12,807535,101
"18511","25058","0","documentary","can mr. smith get to washington anymore?",NA,2006-06-16,0,82
"18513","26223","0","thriller","the canyon","pierce-williams entertainment",2009-10-23,0,102
"18515","192695","0","documentary","all watched over by machines of loving grace","bbc productions",2011-06-06,0,177
"18518","75170","0","drama","third star",NA,2010-06-01,0,92
"18519","30849","0","drama","living proof",NA,2008-10-18,0,125
"18520","15167","0","animation","barbie in the nutcracker","rainmaker entertainment",2001-09-30,0,76
"18521","13976","0","comedy","dylan moran: monster",NA,2004-11-15,0,85
"18522","13586","0","comedy","dylan moran: like, totally...",NA,2006-11-13,0,66
"18523","26118","0","comedy","dylan moran: what it is",NA,2009-11-23,0,76
"18524","79133","0","comedy","dylan moran: yeah, yeah",NA,2011-11-14,0,73
"18525","59961","85000000","action","safe house","universal pictures",2012-02-09,208076205,115
"18526","72570","30000000","drama","the vow","spyglass entertainment",2012-02-05,196114570,104
"18527","63749","0","tv movie","swamp shark","bullet films",2011-06-25,0,85
"18533","25143","0","drama","my boy jack","octagon films",2007-11-11,0,93
"18534","80379","250000","comedy","louis c.k.: live at the beacon theater",NA,2011-12-10,1e+06,62
"18536","84797","0","drama","la chispa de la vida","trivisión s.l.",2011-11-30,0,98
"18537","75000","0","documentary","the black power mixtape 1967-1975","sveriges television (svt)",2011-09-09,0,100
"18539","14205","0","drama","holding trevor","kgb films",2007-06-16,0,88
"18541","63217","0","comedy","at home by myself... with you","shoes full of feet",2009-10-06,0,90
"18545","78480","0","drama","monsieur lazhar","micro scope",2011-09-10,6581915,94
"18547","125695","0","documentary","bookwars",NA,2000-03-11,0,79
"18550","84200","850000","comedy","for a good time, call...","adscott pictures",2012-08-31,1243961,85
"18552","99254","20000","action","casey jones","guiding star productions",2011-09-18,0,35
"18553","73700","0","drama","janie jones",NA,2010-09-17,0,114
"18555","72545","79000000","adventure","journey 2: the mysterious island","new line cinema",2012-01-19,355692760,94
"18557","86099","0","comedy","valerie",NA,2007-04-26,0,80
"18560","51999","0","drama","perfect sense","zentropa entertainments",2011-01-24,908000,92
"18561","47763","0","horror","the shrine","brookstreet pictures",2010-10-14,0,85
"18562","16702","0","action","hamosad hasagur",NA,2007-01-01,0,40
"18563","126016","717000","music","johnny cash at folsom prison","northern lights",2008-10-18,0,60
"18564","83716","0","thriller","fake",NA,2010-06-09,0,0
"18566","278458","0",NA,"el artista","costa films barter",2008-10-28,0,0
"18567","79940","0","comedy","tim and eric's billion dollar movie","2929 productions",2012-03-02,0,94
"18570","64029","2200000","family","rölli ja metsänhenki",NA,2001-12-21,0,92
"18571","29483","4300000","mystery","beautiful kate","beautiful kate productions",2009-06-13,0,90
"18572","88491","2000000","comedy","шапито-шоу","passenger film studio",2011-12-12,393816,207
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA
"18574","79362","0",NA,"sommer der gaukler",NA,2011-12-22,0,0
"18575","53174","5650000","comedy","kokowääh","barefoot films",2011-02-02,4.3e+07,123
"18577","71184","0","drama","when love is not enough: the lois wilson story","hallmark hall of fame productions",2010-04-25,0,96
"18579","85988","0",NA,"pussikaljaelokuva","kinotar",2011-09-02,0,82
"18580","84917","0","documentary","the city dark",NA,2012-01-20,0,0
"18581","75469","0","drama","oka!",NA,2011-10-14,0,105
"18582","83732","0","documentary","bombay beach",NA,2011-10-14,0,80
"18584","30596","23000000","drama","十月圍城","china film group corporation",2009-12-18,5837674,139
"18585","75948","0","action","白蛇传说","juli entertainment media",2011-09-27,0,100
"18586","81870","35000000","adventure","龍門飛甲","film workshop",2011-12-15,0,125
"18587","29564","8000000","action","smokin' aces 2: assassins' ball","capital arts entertainment",2010-01-19,0,86
"18588","71771","0","documentary","knuckle",NA,2011-12-09,0,97
"18589","16564","4000000","drama","oorlogswinter","max tv",2008-11-17,530048,103
"18593","115656","1700000","comedy","risto räppääjä ja polkupyörävaras","yleisradio (yle)",2010-02-11,0,82
"18594","14933","0","romance","the truth about love","piccadilly pictures",2005-04-21,0,94
"18595","73921","0","drama","planes para mañana",NA,2010-11-18,0,96
"18597","106199","0","drama","así es la vida...",NA,2000-09-14,0,98
"18599","247500","0","crime","le 7ème juré","at productions",2008-05-16,0,0
"18602","81716","0","documentary","we were here",NA,2011-09-09,0,90
"18605","82762","0",NA,"new york in the 50's",NA,2001-02-09,0,72
"18606","70954","0","drama","the hunter","porchlight films",2011-10-06,176669,102
"18607","74471","0","horror","the dead","indelible productions",2010-08-30,0,105
"18610","71676","57000000","action","ghost rider: spirit of vengeance","columbia pictures",2011-12-10,149217355,95
"18611","77459","25000000","adventure","un monstre à paris","europa corp",2011-10-12,0,90
"18614","178595","0",NA,"dos μια ιστορία αγάπης, απ' την ανάποδη",NA,2011-09-01,0,0
"18615","21634","0","drama","prayers for bobby","daniel sladek entertainment",2009-02-27,0,88
"18617","44053","0","documentary","bustin' down the door","fresh & smoked",2008-07-25,0,96
"18618","27902","0","family","love wrecked","media 8 entertainment",2005-11-01,0,87
"18619","55802","0",NA,"lumea vazuta de ion b.","hbo romania",2009-12-17,0,60
"18622","54507","0","music","a very potter musical","starkid productions",2009-04-09,0,166
"18623","59017","0","music","a very potter sequel","starkid productions",2010-07-22,0,213
"18624","105983","0","drama","härmä","yellow film & tv",2012-02-17,0,128
"18625","51875","0","crime","miss nobody","double dutch films",2010-06-10,0,86
"18626","73936","0","drama","retreat","ripple world pictures",2011-10-14,0,89
"18627","46504","0","drama","guy and madeline on a park bench",NA,2009-04-23,0,82
"18631","83860","0","drama","october baby",NA,2011-10-30,5355847,107
"18632","79890","0","drama","khodorkovsky",NA,2011-11-17,0,111
"18633","81675","700000","horror","ursul",NA,2011-05-06,0,80
"18634","98096","0","animation","live music",NA,2009-11-20,0,6
"18637","168210","15000000","drama","bag of bones","headline pictures",2011-12-10,0,157
"18638","62116","0","drama","nannerl, la soeur de mozart","les films alyne",2010-06-09,0,120
"18639","70876","0","drama","seven days in utopia","utopia pictures",2011-09-02,0,98
"18640","57243","0","comedy","les femmes du 6ème étage","france 2 cinéma",2010-12-20,0,106
"18642","52454","0","action","mega shark vs. crocosaurus","the asylum",2010-12-21,0,90
"18643","71672","0","horror","wrong turn 4: bloody beginnings","summit entertainment",2011-10-17,0,93
"18645","77495","5000000","thriller","mientras duermes","filmax entertainment",2011-10-14,0,107
"18647","71254","10000000","action","arena","motion picture corporation of america",2011-10-11,0,94
"18650","53033","0","drama","poppy shakespeare","cowboy films",2008-03-31,0,86
"18651","32708","0","drama","laisve","eurimages",2000-10-10,0,96
"18652","276220","0","drama","ndeysaan","hubert bals fund",2001-09-12,0,0
"18653","36427","0",NA,"i saw mommy kissing santa claus",NA,2002-10-23,0,100
"18654","45569","0","action","red hill","wildheart films",2010-11-05,0,97
"18657","48458","0","documentary","the secret glory","shadow theatre films",2001-09-04,0,90
"18658","85883","0","drama","la femme qui boit","sodec",2001-03-09,0,91
"18660","116231","0","comedy","la vie d'une autre","arp sélection",2012-02-14,0,97
"18661","52264","0","animation","une vie de chat","france 3 cinéma",2010-12-13,309973,70
"18663","79707","0","animation","星を追う子ども","comix wave",2011-05-07,0,116
"18664","79548","0","drama","gone","lakeshore entertainment",2012-02-23,18100189,94
"18666","72213","1000000","drama","courageous","tristar pictures",2011-09-30,34522221,129
"18667","17345","0","drama","flywheel",NA,2003-01-01,0,120
"18668","57214","12000000","comedy","project x","silver pictures",2012-03-01,1e+08,88
"18669","73723","70000000","animation","the lorax","universal pictures",2012-03-01,348840316,86
"18670","25228","0","drama","darling","spader knekt",2007-02-09,0,94
"18671","73937","41000000","comedy","the big year","ingenious media",2011-10-13,7448385,100
"18675","75674","12000000","action","act of valor","relativity media",2012-02-24,81272766,110
"18678","82620","0","documentary","undefeated",NA,2011-03-13,0,113
"18679","59962","65000000","action","this means war","dune entertainment",2012-02-14,156974557,103
"18686","49529","260000000","action","john carter","walt disney pictures",2012-03-07,284139100,132
"18687","123320","0","documentary","säilöttyjä unelmia","arte",2012-01-25,0,75
"18689","44246","0","drama","die fremde","wdr",2010-02-13,0,119
"18690","59974","0","documentary","genius within: the inner life of glenn gould",NA,2009-09-13,166770,113
"18691","85963","0","documentary","great directors",NA,2010-07-02,0,90
"18694","74406","0","documentary","queen: days of our lives","globe films",2011-05-29,0,120
"18698","68450","0","adventure","the art of flight","red bull media house",2011-09-08,0,80
"18699","79108","0","comedy","starbuck","caramel film",2011-01-01,0,103
"18700","64288","0","documentary","forks over knives","monica beach media",2011-05-06,664747,90
"18702","288098","0","comedy","nebo iznad krajolika","dream company",2006-03-15,0,86
"18703","46101","2391200","drama","実録・連合赤軍 あさま山荘への道程",NA,2007-08-26,0,190
"18704","74387","0","comedy","goon","don carmody productions",2012-01-06,6483963,92
"18706","178543","0","drama","babi buta yang ingin terbang","babibutafilm",2008-05-18,0,77
"18708","80184","0","thriller","la cara oculta","avalon studios",2011-09-16,0,92
"18709","52349","0","adventure","600 kilos d'or pur","mandarin films",2010-03-07,0,100
"18711","48373","0","drama","listen to your heart","rebel one pictures",2010-08-14,0,102
"18713","20683","0","animation","ペイル・コクーン","directions inc.",2006-01-18,0,23
"18714","77949","4798235","horror","the awakening","bbc films",2011-08-17,209696,107
"18715","41411","20000000","drama","la rafle","gaumont",2010-03-10,0,115
"18716","45595","0","drama","miral","eran riklis productions ltd.",2010-10-01,852336,112
"18717","28524","0","fantasy","princess of mars","the asylum",2009-12-29,0,93
"18718","92117","325","documentary","like water",NA,2011-10-06,0,0
"18719","37928","0","animation","センコロール","aniplex",2009-08-22,0,27
"18720","91010","0","tv movie","game change","playtone",2012-03-09,0,118
"18722","63493","10000000","drama","the ledge","rising star",2011-05-06,610986,101
"18723","42507","0","horror","be-seu-teu-sel-leo",NA,2010-04-15,0,117
"18724","64688","42000000","action","21 jump street","columbia pictures",2012-03-12,201585328,109
"18725","82532","10000000","drama","jeff, who lives at home","indian paintbrush",2011-09-13,4417580,83
"18726","14346","0","comedy","blackballed: the bobby dukes story","the 7th floor",2004-01-01,0,91
"18731","25435","0","thriller","treed murray","odeon films",2001-09-13,0,90
"18734","64786","0","comedy","yes or no: อยากรัก ก็รักเลย","sahamongkol film",2010-12-16,0,107
"18735","79374","0","thriller","blind",NA,2011-08-10,0,111
"18736","81796","20000000","action","lockout","canal+",2012-04-12,32204030,95
"18737","59421","700000","thriller","김복남 살인사건의 전말","filma pictures",2010-08-19,0,115
"18738","70585","0","comedy","lucky",NA,2011-07-15,0,103
"18739","54358","0","documentary","resurrect dead: the mystery of the toynbee tiles",NA,2011-08-01,0,86
"18740","81390","4000000","adventure","a lonely place to die","carnaby international",2011-04-09,25345000,99
"18742","67748","0","crime","snowtown","south australian film corporation",2011-05-16,8452,119
"18743","61984","12000000","science fiction","space battleship yamato","tokyo broadcasting system (tbs)",2010-12-01,11212294,131
"18745","113038","0","drama","zero bridge",NA,2011-02-16,0,96
"18746","45273","7000000","action","the bleeding","iron bull films",2009-11-02,0,80
"18747","95675","0","drama","wreckers",NA,2011-12-16,0,85
"18748","36944","0","documentary","fat head","middle road pictures",2009-02-03,0,104
"18751","273807","0","crime","last exit","heretic films",2003-10-11,0,97
"18752","79754","0","fantasy","verbo","canal plus",2011-11-04,0,87
"18753","64108","0","horror","the frankenstein syndrome","ominous productions",2010-10-01,0,88
"18754","99698","0","drama","mille mois","entre chien et loup",2003-10-01,0,124
"18758","55245","0","documentary","!women art revolution",NA,2010-01-01,0,83
"18759","80304","0","comedy","casa de mi padre","nala films",2012-03-15,0,84
"18760","56591","0","documentary","corman's world: exploits of a hollywood rebel","a&e indiefilms",2011-01-21,0,95
"18762","40056","0","comedy","prom queen: the marc hall story",NA,2004-06-01,0,92
"18764","79221","0","comedy","listy do m.",NA,2011-11-11,0,116
"18765","214857","0",NA,"dragon age: redemption",NA,2011-10-11,0,48
"18766","80767","0","documentary","jiro dreams of sushi","sundial pictures",2011-06-11,2550508,82
"18767","82533","0","comedy","damsels in distress","westerly films",2012-04-06,0,99
"18768","74237","0","documentary","a skin too few: the days of nick drake",NA,2002-04-19,0,48
"18770","61895","0","documentary","pageant",NA,2008-12-26,0,85
"18772","33569","0","drama","brúðguminn",NA,2008-01-18,0,96
"18773","81025","5000000","drama","salmon fishing in the yemen","bbc films",2011-09-10,34564651,107
"18775","35435","0","animation","東のエデン 劇場版i the king of eden","production i.g.",2009-11-28,0,82
"18776","44734","0","animation","東のエデン 劇場版 ii paradise lost","production i.g.",2010-08-04,0,93
"18777","89191","0","crime","saving face","hbo documentary films",2012-03-08,0,40
"18779","94204","0","crime","meeting evil","sony pictures",2012-05-03,525,89
"18780","57165","150000000","adventure","wrath of the titans","legendary pictures",2012-03-27,3.01e+08,99
"18781","44032","0","action","bending the rules","wwe studios",2012-03-09,0,83
"18783","96398","0","crime","paan singh tomar","utv motion pictures",2012-03-02,0,135
"18785","74308","0","drama","detachment","appian way",2011-04-24,72689,97
"18788","75576","0","drama","answers to nothing",NA,2011-12-02,0,124
"18789","86820","0","drama","4:44 last day on earth","wild bunch",2011-09-07,17801,85
"18790","10679","7500000","action","iron sky","blind spot pictures oy",2012-03-10,8135031,93
"18792","74777","70000","mystery","absentia","blue dot productions",2011-03-03,0,92
"18793","70845","0","documentary","there's something wrong with aunt diane","moxie firecracker films",2011-07-25,0,100
"18794","71552","50000000","comedy","american reunion","universal pictures",2012-04-04,234989584,113
"18795","66895","0","horror","ticked-off trannies with knives",NA,2010-10-15,0,0
"18796","94329","1100000","action","serbuan maut","celluloid dreams",2011-09-08,4105187,101
"18797","22970","30000000","horror","the cabin in the woods","lionsgate",2012-04-12,66486080,95
"18798","81342","0","drama","la délicatesse","studiocanal",2011-12-20,9696204,108
"18799","74306","0","comedy","god bless america","jerkschool productions",2011-09-09,122550,104
"18800","87098","0","history","the desert of forbidden art",NA,2011-03-18,0,80
"18801","80432","0","drama","the wayshower",NA,2011-04-10,0,90
"18803","72958","0","drama","matir moina",NA,2002-11-08,0,98
"18805","51991","0","drama","les émotifs anonymes","angoa-agicoa",2010-12-22,0,80
"18806","251797","0","documentary","tuntematon emäntä",NA,2011-02-04,0,80
"18807","28136","250000","documentary","popatopolis",NA,2009-06-10,0,75
"18810","37586","0","drama","yumurta","kaplan film",2007-11-09,0,97
"18811","256044","0","documentary","apa khabar orang kampung","da huang pictures",2007-01-01,0,72
"18812","73889","0","drama","das lied in mir",NA,2010-09-03,0,94
"18815","85052","0","drama","हाउसफुल २",NA,2012-04-05,0,145
"18816","85050","0","action","agent vinod","illuminati films pvt ltd",2012-03-23,0,157
"18817","39172","0","drama","after",NA,2009-10-23,0,0
"18819","72551","0","drama","הערת שוליים","united king films",2011-05-25,0,103
"18820","85033","0","drama","café de flore","item 7",2011-11-17,0,120
"18821","91070","930000","comedy","l!fe happens","stardust pictures",2011-06-18,30905,100
"18822","14686","0","horror","midnight movie","bigfoot entertainment",2008-10-24,0,82
"18824","56180","6000","drama","la casa muda","elle driver",2010-08-25,0,86
"18825","92182","2000000","horror","silent house","elle driver",2011-01-21,13101672,85
"18826","75778","0","comedy","wild about harry",NA,2000-12-31,0,91
"18829","76489","30000000","comedy","the three stooges","wessler entertainment",2012-04-13,54819301,92
