"","id","original_title","genres","release_date","Year","Month","Date","revenue","budget","runtime","drama","thriller","nonfiction","action","amusement","cleaned title"
"17308","59111","kalamity","[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2010-10-22,"2010","10","22",0,"2000000",100,1,1,0,0,0,"kalamity"
"17309","44991","the four faced liar","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2010-01-01,"2010","01","01",0,"2000000",87,1,0,0,0,1,"thefourfacedliar"
"17310","330152","a lamp in the dark the untold history of the bible","[{'id': 99, 'name': 'Documentary'}]",2009-11-10,"2009","11","10",0,"0",178,0,0,1,0,0,"alampinthedarktheuntoldhistoryofthebible"
"17313","64854","seconds apart","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2011-01-28,"2011","01","28",0,"0",89,0,1,0,0,0,"secondsapart"
"17317","429876","brushfires","[{'id': 18, 'name': 'Drama'}]",2004-10-16,"2004","10","16",0,"0",115,1,0,0,0,0,"brushfires"
"17319","61033","armless","[{'id': 35, 'name': 'Comedy'}]",2010-01-22,"2010","01","22",0,"0",86,0,0,0,0,1,"armless"
"17320","23190","life after people","[{'id': 10770, 'name': 'TV Movie'}, {'id': 99, 'name': 'Documentary'}]",2008-01-21,"2008","01","21",0,"0",94,0,0,1,0,0,"lifeafterpeople"
"17321","47975","the spaghetti west","[{'id': 99, 'name': 'Documentary'}]",2005-01-01,"2005","01","01",0,"0",0,0,0,1,0,0,"thespaghettiwest"
"17322","65034","too big to fail","[{'id': 18, 'name': 'Drama'}]",2011-05-22,"2011","05","22",0,"0",97,1,0,0,0,0,"toobigtofail"
"17324","125233","an unexpected love","[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",2003-03-24,"2003","03","24",0,"0",90,1,0,0,0,0,"anunexpectedlove"
"17325","85430","girl play","[{'id': 35, 'name': 'Comedy'}]",2004-07-11,"2004","07","11",0,"1000000",80,0,0,0,0,1,"girlplay"
"17327","55502","pelikaanimies","[]",2004-12-16,"2004","12","16",0,"0",90,0,0,0,0,0,"pelikaanimies"
"17329","1736","shoppen","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2007-05-02,"2007","05","02",0,"0",91,1,0,0,0,1,"shoppen"
"17332","64350","living with wolves","[{'id': 99, 'name': 'Documentary'}]",2005-05-08,"2005","05","08",0,"0",100,0,0,1,0,0,"livingwithwolves"
"17335","288108","film ist 7 12","[{'id': 99, 'name': 'Documentary'}]",2002-10-10,"2002","10","10",0,"0",90,0,0,1,0,0,"filmist712"
"17339","289010","die frau des fris„ rs","[{'id': 18, 'name': 'Drama'}]",2008-10-27,"2008","10","27",0,"0",0,1,0,0,0,0,"diefraudesfris„rs"
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"17342","27358","monsturd","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",2003-04-08,"2003","04","08",0,"0",80,0,1,0,0,1,"monsturd"
"17343","22907","takers","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2010-08-26,"2010","08","26",69055695,"32000000",107,1,1,0,1,0,"takers"
"17344","53256","drei","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2010-12-23,"2010","12","23",2611555,"0",119,1,0,0,0,1,"drei"
"17345","59065","route irish","[{'id': 18, 'name': 'Drama'}]",2011-03-16,"2011","03","16",0,"0",109,1,0,0,0,0,"routeirish"
"17346","41593","quo vadis baby ","[]",2005-05-27,"2005","05","27",0,"0",105,0,0,0,0,0,"quovadisbaby"
"17347","12840","l homme de sa vie","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2006-09-08,"2006","09","08",0,"0",114,1,0,0,0,1,"lhommedesavie"
"17353","12513","marie jo et ses deux amours","[{'id': 18, 'name': 'Drama'}]",2002-06-26,"2002","06","26",0,"0",124,1,0,0,0,0,"mariejoetsesdeuxamours"
"17354","73884","È ÂÖúÊïÖ‰ ã","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2001-12-15,"2001","12","15",0,"0",75,1,0,0,0,1,"ÈÂÖúÊïÖ‰ã"
"17355","32893","broken windows","[{'id': 18, 'name': 'Drama'}]",2008-09-26,"2008","09","26",0,"0",0,1,0,0,0,0,"brokenwindows"
"17356","60302","cougars inc ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2011-05-10,"2011","05","10",0,"1000000",81,1,0,0,0,1,"cougarsinc"
"17357","52605","strapped","[{'id': 18, 'name': 'Drama'}]",2010-09-24,"2010","09","24",0,"0",95,1,0,0,0,0,"strapped"
"17358","38317","zookeeper","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",2011-07-06,"2011","07","06",169852759,"80000000",102,1,0,0,0,1,"zookeeper"
"17359","51540","horrible bosses","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2011-07-08,"2011","07","08",1.17e+08,"35000000",98,1,0,0,0,1,"horriblebosses"
"17360","41360","hunter prey","[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2009-01-01,"2009","01","01",0,"425000",90,0,1,0,0,1,"hunterprey"
"17361","65509","see this movie","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2004-03-03,"2004","03","03",0,"0",82,1,0,0,0,1,"seethismovie"
"17362","49013","cars 2","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",2011-06-11,"2011","06","11",559852396,"200000000",106,0,0,0,1,1,"cars2"
"17365","25867","de dana dan","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",2009-11-27,"2009","11","27",0,"0",166,0,0,0,1,1,"dedanadan"
"17368","63197","megan is missing","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2011-05-01,"2011","05","01",0,"0",85,1,1,0,0,0,"meganismissing"
"17369","66113","in her skin","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2009-03-13,"2009","03","13",0,"7000000",107,1,1,0,0,0,"inherskin"
"17374","45657","the ward","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2010-09-13,"2010","09","13",498974,"10000000",88,0,1,0,0,0,"theward"
"17376","41339","tapped","[{'id': 99, 'name': 'Documentary'}]",2009-07-31,"2009","07","31",0,"0",76,0,0,1,0,0,"tapped"
"17377","63144","page one inside the new york times","[{'id': 99, 'name': 'Documentary'}]",2011-04-29,"2011","04","29",429766,"0",88,0,0,1,0,0,"pageoneinsidethenewyorktimes"
"17382","24792","between the folds","[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}]",2008-01-01,"2008","01","01",0,"0",56,0,0,1,0,1,"betweenthefolds"
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"17384","44990","breaking upwards","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2009-03-14,"2009","03","14",0,"0",88,1,0,0,0,1,"breakingupwards"
"17386","45014","anton chekhov s the duel","[{'id': 18, 'name': 'Drama'}]",2010-04-28,"2010","04","28",0,"0",95,1,0,0,0,0,"antonchekhovstheduel"
"17387","20055","the betrayed","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2008-09-27,"2008","09","27",0,"3500000",98,1,1,0,0,0,"thebetrayed"
"17388","61537","burn notice the fall of sam axe","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2011-04-17,"2011","04","17",0,"0",120,1,1,0,0,1,"burnnoticethefallofsamaxe"
"17391","57965","rosso come il cielo","[]",2006-10-17,"2006","10","17",0,"0",0,0,0,0,0,0,"rossocomeilcielo"
"17392","86262","Ïûò ÏïúÏ ÄÎèÑ Î ÌïòÎ ÏÑú","[{'id': 18, 'name': 'Drama'}]",2009-05-14,"2009","05","14",0,"0",126,1,0,0,0,0,"ÏûòÏïúÏÄÎèÑÎÌïòÎÏÑú"
"17393","39840","eu cand vreau s‰É fluier fluier","[{'id': 18, 'name': 'Drama'}]",2010-03-26,"2010","03","26",0,"0",94,1,0,0,0,0,"eucandvreaus‰Éfluierfluier"
"17394","37832","mammuth","[{'id': 35, 'name': 'Comedy'}]",2010-04-21,"2010","04","21",0,"0",92,0,0,0,0,1,"mammuth"
"17395","61814","la femme de gilles","[{'id': 18, 'name': 'Drama'}]",2004-09-15,"2004","09","15",0,"0",103,1,0,0,0,0,"lafemmedegilles"
"17396","52188","bekleme odas‰ ","[{'id': 18, 'name': 'Drama'}]",2004-02-27,"2004","02","27",0,"0",92,1,0,0,0,0,"beklemeodas‰"
"17398","80294","suspicious river","[{'id': 18, 'name': 'Drama'}]",2000-09-09,"2000","09","09",0,"0",92,1,0,0,0,0,"suspiciousriver"
"17399","12432","un giorno perfetto","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2008-01-01,"2008","01","01",0,"0",105,1,0,0,0,0,"ungiornoperfetto"
"17403","63297","200 mph","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2011-04-26,"2011","04","26",0,"0",90,0,1,0,1,0,"200mph"
"17404","68200","hot coffee","[{'id': 99, 'name': 'Documentary'}]",2011-06-27,"2011","06","27",0,"0",85,0,0,1,0,0,"hotcoffee"
"17407","67236","tiresia","[{'id': 18, 'name': 'Drama'}]",2003-05-20,"2003","05","20",0,"0",115,1,0,0,0,0,"tiresia"
"17413","54690","Ïò ÏàòÏ†ï","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2000-05-27,"2000","05","27",0,"0",126,1,0,0,0,0,"ÏòÏàòÏ†ï"
"17415","177697","hangtime kein leichtes spiel","[{'id': 18, 'name': 'Drama'}]",2009-10-14,"2009","10","14",0,"0",0,1,0,0,0,0,"hangtimekeinleichtesspiel"
"17416","24189","la stella che non c „ ","[]",2006-09-08,"2006","09","08",0,"0",103,0,0,0,0,0,"lastellachenonc„"
"17418","109048","‡ ‡ ô‡ ï‡ ú‡ ‡ ‡ Å‡ ó‡ ‡ ‡ ô‡ ã‡ ‡ ‡ Ä‡ ï‡ ‡ ‡ ú","[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2001-12-28,"2001","12","28",0,"0",90,1,0,1,0,1,"‡‡ô‡ï‡ú‡‡‡Å‡ó‡‡‡ô‡ã‡‡‡Ä‡ï‡‡‡ú"
"17419","21959","Ëˇ Â ","[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10769, 'name': 'Foreign'}]",2006-01-01,"2006","01","01",0,"0",131,1,0,0,0,1,"ËˇÂ"
"17420","68029","double dhamaal","[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",2011-06-24,"2011","06","24",0,"0",0,0,0,0,0,1,"doubledhamaal"
"17421","60897","happiness is a warm blanket charlie brown","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2011-03-29,"2011","03","29",0,"0",44,0,0,0,0,1,"happinessisawarmblanketcharliebrown"
"17422","67109","delhi belly","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",2011-07-01,"2011","07","01",18035000,"4090000",102,0,0,0,1,1,"delhibelly"
"17424","73340","heir to an execution","[{'id': 99, 'name': 'Documentary'}]",2004-01-01,"2004","01","01",0,"0",99,0,0,1,0,0,"heirtoanexecution"
"17425","38645","and then came lola","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2009-01-01,"2009","01","01",0,"0",71,1,0,0,0,1,"andthencamelola"
"17426","49594","snowblind","[{'id': 37, 'name': 'Western'}]",2010-11-11,"2010","11","11",0,"300000",92,0,0,0,1,0,"snowblind"
"17427","118116","bienvenido a farewell gutmann","[]",2008-07-04,"2008","07","04",0,"0",104,0,0,0,0,0,"bienvenidoafarewellgutmann"
"17428","295560","clint eastwood out of the shadows","[{'id': 99, 'name': 'Documentary'}]",2000-09-27,"2000","09","27",0,"0",87,0,0,1,0,0,"clinteastwoodoutoftheshadows"
"17430","64780","upside down the creation records story","[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 10769, 'name': 'Foreign'}]",2010-10-19,"2010","10","19",0,"0",101,0,0,1,0,0,"upsidedownthecreationrecordsstory"
"17433","59860","monte carlo","[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2011-07-01,"2011","07","01",17425000,"20000000",109,1,0,0,1,1,"montecarlo"
"17434","55895","monogamy","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2010-04-24,"2010","04","24",0,"1000000",94,1,0,0,0,0,"monogamy"
"17435","4641","read it and weep","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}]",2006-07-21,"2006","07","21",0,"0",90,1,0,0,0,1,"readitandweep"
"17436","16900","truth in 24","[{'id': 99, 'name': 'Documentary'}]",2008-11-06,"2008","11","06",0,"0",95,0,0,1,0,0,"truthin24"
"17437","66195","the perfect host","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2010-07-01,"2010","07","01",14870,"0",93,1,1,0,0,1,"theperfecthost"
"17438","12445","harry potter and the deathly hallows part 2","[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",2011-07-07,"2011","07","07",1.342e+09,"125000000",130,0,0,0,1,1,"harrypotterandthedeathlyhallowspart2"
"17439","65058","conan o brien can t stop","[{'id': 99, 'name': 'Documentary'}]",2011-06-24,"2011","06","24",223959,"0",89,0,0,1,0,0,"conanobriencantstop"
"17440","64690","drive","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2011-08-06,"2011","08","06",78054825,"15000000",100,1,1,0,1,0,"drive"
"17441","53404","crime d amour","[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",2010-08-09,"2010","08","09",0,"0",104,1,1,0,0,0,"crimedamour"
"17444","58882","snow flower and the secret fan","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2011-07-15,"2011","07","15",1332231,"134005",104,1,0,1,0,0,"snowflowerandthesecretfan"
"17445","1771","captain america the first avenger","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2011-07-22,"2011","07","22",370569774,"140000000",124,0,0,0,1,1,"captainamericathefirstavenger"
"17448","50646","crazy stupid love ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2011-07-29,"2011","07","29",142851197,"50000000",118,1,0,0,0,1,"crazystupidlove"
"17455","51828","one day","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2011-03-02,"2011","03","02",59389433,"15000000",107,1,0,0,0,0,"oneday"
"17456","62522","35 and ticking","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2011-05-20,"2011","05","20",0,"0",104,1,0,0,0,1,"35andticking"
"17457","63287","the poker house","[{'id': 18, 'name': 'Drama'}]",2008-06-20,"2008","06","20",0,"0",93,1,0,0,0,0,"thepokerhouse"
"17458","27588","forget me not","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",2009-10-22,"2009","10","22",0,"0",103,1,1,0,0,0,"forgetmenot"
"17459","404479","autobonus","[{'id': 99, 'name': 'Documentary'}]",2001-01-01,"2001","01","01",0,"0",60,0,0,1,0,0,"autobonus"
"17460","74946","feast of all saints","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2001-11-11,"2001","11","11",0,"0",213,1,0,0,0,0,"feastofallsaints"
"17463","55166","hurmaava joukkoitsemurha","[]",2000-03-03,"2000","03","03",0,"0",0,0,0,0,0,0,"hurmaavajoukkoitsemurha"
"17465","67913","the guard","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2011-07-07,"2011","07","07",19560274,"6000000",96,1,1,0,1,1,"theguard"
"17466","66942","griff the invisible","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2011-08-19,"2011","08","19",0,"2902660",93,1,0,0,0,1,"grifftheinvisible"
"17467","59115","quarantine 2 terminal","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",2011-06-16,"2011","06","16",0,"4000000",86,1,1,0,0,1,"quarantine2terminal"
"17468","62106","earth days","[{'id': 99, 'name': 'Documentary'}]",2009-08-14,"2009","08","14",0,"1200000",90,0,0,1,0,0,"earthdays"
"17469","72558","b„ rn","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10769, 'name': 'Foreign'}]",2006-09-09,"2006","09","09",0,"0",0,0,1,0,0,1,"b„rn"
"17470","51162","winnie the pooh","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2011-04-13,"2011","04","13",14460000,"30000000",63,0,0,0,0,1,"winniethepooh"
"17471","55632","peep world","[{'id': 35, 'name': 'Comedy'}]",2010-09-15,"2010","09","15",10967,"0",79,0,0,0,0,1,"peepworld"
"17472","65599","the woman","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",2011-10-14,"2011","10","14",0,"0",102,1,1,0,0,0,"thewoman"
"17476","8897","la fronti„ re de l aube","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",2008-05-22,"2008","05","22",0,"0",106,1,0,0,0,0,"lafronti„redelaube"
"17479","30873","no impact man","[{'id': 99, 'name': 'Documentary'}]",2009-09-04,"2009","09","04",0,"0",93,0,0,1,0,0,"noimpactman"
"17480","54540","beverly hills chihuahua 2","[{'id': 10751, 'name': 'Family'}]",2011-02-01,"2011","02","01",1.2e+07,"0",93,0,0,0,0,1,"beverlyhillschihuahua2"
"17483","8888","im winter ein jahr","[{'id': 18, 'name': 'Drama'}]",2008-11-10,"2008","11","10",0,"0",129,1,0,0,0,0,"imwintereinjahr"
"17490","60785","cheut ai kup gei","[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",2007-09-13,"2007","09","13",0,"0",94,0,0,0,0,1,"cheutaikupgei"
"17491","230680","nachbarinnen","[{'id': 18, 'name': 'Drama'}]",2004-11-10,"2004","11","10",0,"0",NA,1,0,0,0,0,"nachbarinnen"
"17492","57389","le quattro volte","[{'id': 18, 'name': 'Drama'}]",2010-05-16,"2010","05","16",0,"0",88,1,0,0,0,0,"lequattrovolte"
"17494","65016","la belle endormie","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",2010-09-03,"2010","09","03",0,"0",82,1,0,0,0,1,"labelleendormie"
"17495","13931","mike s new car","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2002-05-24,"2002","05","24",0,"0",4,0,0,0,0,1,"mikesnewcar"
"17497","63736","almighty thor","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",2011-05-07,"2011","05","07",0,"0",88,0,0,0,1,1,"almightythor"
"17499","41513","the smurfs","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",2011-07-29,"2011","07","29",563749323,"110000000",103,0,0,0,1,1,"thesmurfs"
"17500","61724","reparando","[]",2010-01-01,"2010","01","01",0,"0",0,0,0,0,0,0,"reparando"
"17501","48453","el concursante","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",2007-03-15,"2007","03","15",0,"0",84,1,1,0,0,1,"elconcursante"
"17503","67636","comanche moon","[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",2008-01-13,"2008","01","13",0,"0",360,1,0,0,1,0,"comanchemoon"
"17505","43935","dylan dog dead of night","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2011-03-16,"2011","03","16",4634062,"20000000",107,1,1,0,1,1,"dylandogdeadofnight"
"17506","12446","l empreinte de l ange","[{'id': 18, 'name': 'Drama'}]",2008-06-13,"2008","06","13",0,"0",95,1,0,0,0,0,"lempreintedelange"
"17507","80210","the undefeated","[{'id': 99, 'name': 'Documentary'}]",2011-07-15,"2011","07","15",0,"1000000",117,0,0,1,0,0,"theundefeated"
"17508","17086","chromophobia","[{'id': 18, 'name': 'Drama'}]",2005-01-01,"2005","01","01",0,"10000000",136,1,0,0,0,0,"chromophobia"
"17509","50544","friends with benefits","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2011-07-21,"2011","07","21",150483765,"35000000",109,1,0,0,0,1,"friendswithbenefits"
"17510","51735","Óó Ó Ó ÔúÓ Ó ÔÑÓ ÔÖ Ó ÔÅÔúÓ Ó ÔÖ","[{'id': 18, 'name': 'Drama'}]",2008-11-22,"2008","11","22",0,"0",125,1,0,0,0,0,"ÓóÓÓÔúÓÓÔÑÓÔÖÓÔÅÔúÓÓÔÖ"
"17514","68412","3 backyards","[{'id': 18, 'name': 'Drama'}]",2010-01-01,"2010","01","01",0,"0",88,1,0,0,0,0,"3backyards"
"17515","69794","small town murder songs","[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2010-09-14,"2010","09","14",0,"0",75,1,1,0,0,0,"smalltownmurdersongs"
"17518","50004","p„ jaros de papel","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",2010-03-12,"2010","03","12",0,"0",110,1,0,0,0,0,"p„jarosdepapel"
"17519","20268","„öltima parada 174","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",2008-10-24,"2008","10","24",0,"4700000",108,1,0,0,0,0,"„öltimaparada174"
"17520","68174","waking madison","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",2011-05-02,"2011","05","02",0,"0",89,1,1,0,0,0,"wakingmadison"
"17521","49847","the possession of david o reilly","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2010-01-01,"2010","01","01",0,"0",87,0,1,0,0,0,"thepossessionofdavidoreilly"
"17522","22093","el cielo dividido","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",2006-02-14,"2006","02","14",0,"0",140,1,0,0,0,0,"elcielodividido"
"17523","12819","alpha and omega","[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",2010-09-17,"2010","09","17",39300000,"20000000",88,0,0,0,0,1,"alphaandomega"
"17532","47854","jing wu feng yun chen zhen","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",2010-09-01,"2010","09","01",48398,"0",105,1,1,1,1,0,"jingwufengyunchenzhen"
"17535","55846","blitz","[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2011-05-20,"2011","05","20",741875,"15774948",97,1,1,0,1,0,"blitz"
"17537","13254","the living and the dead","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",2006-09-23,"2006","09","23",0,"0",83,1,1,0,0,0,"thelivingandthedead"
"17540","54384","aquele querido m„ s de agosto","[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2008-08-21,"2008","08","21",0,"0",147,1,0,1,0,0,"aquelequeridom„sdeagosto"
"17541","67404","autobiografia lui nicolae ceauËôescu","[{'id': 99, 'name': 'Documentary'}]",2010-10-29,"2010","10","29",0,"0",180,0,0,1,0,0,"autobiografialuinicolaeceauËôescu"
"17542","57403","mist„ rios de lisboa","[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",2010-10-20,"2010","10","20",0,"2500000",272,1,1,0,0,0,"mist„riosdelisboa"
"17543","86261","Ïò Ìù Ïùò ÏòÅÌôî","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2010-09-16,"2010","09","16",0,"0",80,1,0,0,0,1,"ÏòÌùÏùòÏòÅÌôî"
"17545","45839","fred the movie","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2010-09-18,"2010","09","18",0,"0",89,0,0,0,0,1,"fredthemovie"
"17548","45765","yo tambi„ n","[{'id': 18, 'name': 'Drama'}]",2009-10-16,"2009","10","16",0,"0",103,1,0,0,0,0,"yotambi„n"
"17552","57361","Ìô Ìï ","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2010-12-22,"2010","12","22",0,"0",157,1,1,0,0,0,"ÌôÌï"
"17554","46920","la nostra vita","[{'id': 18, 'name': 'Drama'}]",2010-05-21,"2010","05","21",0,"0",98,1,0,0,0,0,"lanostravita"
"17555","36956","cosa voglio di pi„ ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2010-04-30,"2010","04","30",0,"0",121,1,0,0,0,1,"cosavogliodipi„"
"17557","51851","changement d adresse","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2006-06-21,"2006","06","21",0,"0",85,1,0,0,0,1,"changementdadresse"
